  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1001     1   0 27 825  ??         0:15.72 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501  1010     1   0 27 825  ??         5:25.32 /usr/libexec/ContinuityCaptureAgent server
  501  1013     1   0 27 825  ??         6:30.49 /usr/libexec/searchpartyuseragent
  501  1014     1   0 27 825  ??         0:14.74 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501  1015     1   0 27 825  ??        18:01.13 /usr/libexec/sharingd
    0  1017     1   0 27 825  ??         0:27.18 /usr/sbin/filecoordinationd
  501  1021     1   0 27 825  ??         0:09.08 /System/Library/CoreServices/sharedfilelistd
  247  1022     1   0 27 825  ??         0:14.15 /usr/sbin/distnoted agent
  501  1029     1   0 27 825  ??        46:41.54 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  260  1034     1   0 27 825  ??         0:14.13 /usr/sbin/distnoted agent
  259  1039     1   0 27 825  ??         0:00.33 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  501  1044     1   0 27 825  ??         7:40.64 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501  1045     1   0 27 825  ??         2:32.18 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  265  1048     1   0 27 825  ??         0:05.83 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  273  1063     1   0 27 825  ??         0:13.85 /usr/sbin/distnoted agent
  501  1067     1   0 27 825  ??        22:22.96 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
   55  1089     1   0 27 825  ??         0:13.85 /usr/sbin/distnoted agent
  501  1097     1   0 27 825  ??         2:36.81 /System/Library/CoreServices/audioaccessoryd
  268  1098     1   0 27 825  ??        11:53.91 /usr/libexec/nearbyd
  501  1102     1   0 27 825  ??         6:56.13 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501  1103     1   0 27 825  ??         0:30.15 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  242  1121     1   0 27 825  ??         0:13.81 /usr/sbin/distnoted agent
  501  1129     1   0 27 825  ??         2:00.85 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501  1138     1   0 27 825  ??         1:02.06 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501  1139     1   0 27 825  ??         0:02.52 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  501  1140     1   0 27 825  ??       141:46.96 /usr/libexec/avconferenced
  501  1144     1   0 27 825  ??        17:41.04 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
  501  1177     1   0 27 825  ??         1:14.25 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  501  1181     1   0 27 825  ??         0:00.05 /System/Applications/System Settings.app/Contents/PlugIns/csimporter.appex/Contents/MacOS/csimporter -AppleLanguages ("ko-KR")
  501  1194     1   0 27 825  ??         5:16.02 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501  1196     1   0 27 825  ??         0:01.69 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501  1207     1   0 27 825  ??         0:13.97 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  501  1214     1   0 27 825  ??         1:51.60 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  501  1225     1   0 27 825  ??         0:50.09 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  501  1231     1   0 27 825  ??        90:10.19 /Applications/KakaoTalk.app/Contents/MacOS/KakaoTalk
  501  1254     1   0 27 825  ??         7:21.78 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501  1255     1   0 27 825  ??         1:03.69 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501  1256     1   0 27 825  ??        17:28.03 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501  1262     1   0 27 825  ??         0:06.70 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
    0  1263     1   0 27 825  ??         0:00.55 automountd
  501  1264     1   0 27 825  ??         0:03.36 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501  1267     1   0 27 825  ??         0:06.11 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
    0  1268     1   0 27 825  ??         0:00.76 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  501  1273     1   0 27 825  ??         4:44.02 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  501  1277     1   0 27 825  ??         1:40.36 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501  1279     1   0 27 825  ??         0:00.30 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
